Date,Open,High,Low,Close,Volume,AveragePrice,TrueRange,PriceAction,HighestHigh,LowestLow,SMA,EMA,EMA26,UpMove,DownMove,PlusDM,MinusDI,EMADM,ATR,PercK,PercD,AverageGain,AverageLoss,RSI,Momentum,MiddleBand,UpperBand,LowerBand,PPO,VarOpen,VarHigh,VarLow,VarClose,VarAvg,VarPA,VarHH,VarLL,VarSMA,VarEMA,VarATR,VarK,VarD,VarMomentum,VarUB,VarLB,VarPPO,Class
02-09-2004,49.595,51.185,49.47,50.755,15133800,50.3275,1.7150000000000034,1.0075000000000038,0,0,0,0,0,-0.29999999999999716,0.365000000000002,0.0,0.365000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-09-2004,50.475,50.87,49.66,50.005,5157600,50.265,1.2100000000000009,-0.4949999999999939,0,0,0,0,0,-0.31500000000000483,-0.18999999999999773,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-09-2004,50.505,51.0,49.805,50.79,5853400,50.4025,1.1950000000000003,0.5299999999999976,0,0,0,0,0,0.13000000000000256,-0.14500000000000313,0.13000000000000256,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-09-2004,50.37,51.515,50.25,51.15,4990600,50.8825,1.2650000000000006,0.6574999999999989,56.74,47.98,51.893214285714286,51.79411904761905,0,0.5150000000000006,-0.4450000000000003,0.5150000000000006,0.0,0,2.092142857142858,9.96745865466055,0,-0.039615384615384656,-0.17461538461538487,0,98.08406647116325,51.893214285714286,55.26639413678839,48.52003443464018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-09-2004,51.265,51.355,50.5,51.155,4065800,50.927499999999995,0.8549999999999969,0.17250000000000298,56.74,49.47,51.96357142857142,51.70890317460317,0,-0.1600000000000037,-0.25,0.0,0.0,0,2.003775510204082,9.8731603836125,0,-0.24500000000000016,-0.019230769230769232,0,105.86452937151793,51.96357142857142,55.20595754373109,48.72118531341175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-2004,50.8,53.28,50.65,52.665,8707600,51.965,2.6300000000000026,1.6325000000000003,56.74,49.47,51.85714285714285,51.83638275132275,0,1.9250000000000043,-0.14999999999999858,1.9250000000000043,0.0,0,2.0485058309037907,7.394637753481836,9.078418930584961,-0.26615384615384624,0.2980769230769231,0,103.86404633058008,51.85714285714285,55.092504247185055,48.62178146710064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-09-2004,53.315,54.205,53.23,53.75,7852000,53.7175,0.9750000000000014,0.25000000000000355,55.8,49.47,51.789285714285704,52.091531717813055,0,0.9249999999999972,-2.5799999999999983,0.9249999999999972,0.0,0,1.9718268429820915,3.6903690369036855,6.986055724666008,-0.1226923076923076,-0.11115384615384617,0,97.55348837209303,51.789285714285704,54.477398869486734,49.101172559084674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-09-2004,53.725,56.0,53.395,55.745,10839800,54.697500000000005,2.604999999999997,2.057499999999994,54.31,49.47,52.02571428571429,52.578660822104645,0,1.7950000000000017,-0.16500000000000625,1.7950000000000017,0.0,0,2.017053497054799,-2.7462800822927034,2.779575569364273,0.15384615384615385,-0.11192307692307733,0,95.07579155081174,52.02571428571429,54.94778558648934,49.103642984939235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-09-2004,55.28,57.115,55.1,56.0,10723800,56.1075,2.0150000000000006,0.2524999999999977,56.0,49.47,52.239999999999995,53.03483937915736,0,1.115000000000002,-1.7049999999999983,1.115000000000002,0.0,0,2.0169068186937418,-0.0,0.3146963182036607,0.2415384615384616,-0.21307692307692333,0,96.34821428571428,52.239999999999995,55.89750169942799,48.582498300572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-09-2004,56.17,57.9,55.825,56.985,9275600,56.8625,2.0749999999999957,0.5299999999999976,57.115,49.47,52.45642857142858,53.56152746193638,0,0.7849999999999966,-0.7250000000000014,0.7849999999999966,0.0,0,2.0210563316441883,0.22974286471680222,-0.8388457391919671,0.27615384615384586,-0.22923076923076954,0,93.13854523120119,52.45642857142858,56.88485200036286,48.0280051424943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
